"estacion","lat","lng","coord","linea","conexiones"
"Copilco",19.335887,-99.176652,"19.335887,-99.176652","3","Miguel Ángel de Quevedo,Universidad"
"Coyoacán",19.361417,-99.170709,"19.361417,-99.170709","3","Zapata,Viveros/Derechos Humanos"
"Coyuya",19.398521,-99.113545,"19.398521,-99.113545","8","Santa Anita,Iztacalco"
"Cuatro Caminos",19.459592,-99.215899,"19.459592,-99.215899","2","Panteones"
"Cuauhtémoc",19.425862,-99.154701,"19.425862,-99.154701","1","Insurgentes,Balderas"
"Cuitláhuac",19.457448,-99.182038,"19.457448,-99.182038","2","Tacuba,Popotla"
"Culhuacán",19.337,-99.109,"19.337,-99.109","12","Atlalilco,San Andrés Tomatlán"
"Deportivo 18 de Marzo",19.483747,-99.126549,"19.483747,-99.126549","3,6","Indios Verdes,Potrero,Lindavista,La Villa-Basílica"
"Deportivo Oceanía",19.451034,-99.07917,"19.451034,-99.07917","B","Bosque de Aragón,Oceanía"
"División del Norte",19.380021,-99.158885,"19.380021,-99.158885","3","Eugenia,Zapata"
"Doctores",19.421612,-99.143372,"19.421612,-99.143372","8","Salto del Agua,Obrera"
"Ecatepec",19.515301,-99.035997,"19.515301,-99.035997","B","Olímpica,Múzquiz"
"Eduardo Molina",19.451378,-99.105434,"19.451378,-99.105434","5","Consulado,Aragón"
"Eje central",19.3614,-99.1514,"19.3614,-99.1514","12","Parque de los venados,Ermita"
"El Rosario",19.504541,-99.20002,"19.504541,-99.20002","6,7","Tezozómoc,Aquiles Serdán"
"Ermita",19.361883,-99.142942,"19.361883,-99.142942","2,12","Eje central,Mexicaltzingo,Portales,General Anaya"
"Escuadrón 201",19.36492,-99.109554,"19.36492,-99.109554","8","Aculco,Atlalilco"
"Etiopía/Plaza de la Transparencia",19.395586,-99.156268,"19.395586,-99.156268","3","Centro Médico,Eugenia"
"Eugenia",19.385466,-99.157469,"19.385466,-99.157469","3","Etiopía/Plaza de la Transparencia,División del Norte"
"Ferrería",19.490746,-99.173841,"19.490746,-99.173841","6","Azcapotzalco,Norte 45"
"Fray Servando",19.421633,-99.120541,"19.421633,-99.120541","4","Candelaria,Jamaica"
"Garibaldi",19.444458,-99.139724,"19.444458,-99.139724","8,B","Bellas Artes,Lagunilla,Guerrero"
"General Anaya",19.353259,-99.145002,"19.353259,-99.145002","2","Ermita,Tasqueña"
"Gómez Farías",19.416472,-99.09035,"19.416472,-99.09035","1","Boulevard Puerto Aéreo,Zaragoza"
"Guelatao",19.385162,-99.03574,"19.385162,-99.03574","A","Tepalcates,Peñón Viejo"
"Guerrero",19.445146,-99.145389,"19.445146,-99.145389","3,B","Tlatelolco,Hidalgo,Garibaldi,Buenavista"
"Hangares",19.424142,-99.087496,"19.424142,-99.087496","5","Terminal Aérea,Pantitlán"
"Hidalgo",19.437295,-99.147105,"19.437295,-99.147105","2,3","Revolución,Bellas Artes,Guerrero,Juárez"
"Hospital 20 de Noviembre",19.372,-99.171,"19.372,-99.171","12","Insurgentes Sur,Zapata"
"Hospital General",19.413578,-99.153886,"19.413578,-99.153886","3","Niños Héroes,Centro Médico"
"Impulsora",19.485851,-99.048915,"19.485851,-99.048915","B","Río de los Remedios,Nezahualcóyotl"
"Indios Verdes",19.495358,-99.119468,"19.495358,-99.119468","3","Deportivo 18 de Marzo"
"Instituto del Petróleo",19.489573,-99.14526,"19.489573,-99.14526","5,6","Politécnico,Autobuses del Norte,Vallejo,Lindavista"
"Insurgentes",19.423292,-99.163177,"19.423292,-99.163177","1","Sevilla,Cuauhtémoc"
"Insurgentes Sur",19.3736,-99.1788,"19.3736,-99.1788","12","Mixcoac,Hospital 20 de Noviembre"
"Isabel la Católica",19.426732,-99.137685,"19.426732,-99.137685","1","Salto del Agua,Pino Suárez"
"Iztacalco",19.388562,-99.112215,"19.388562,-99.112215","8","Coyuya,Apatlaco"
"Iztapalapa",19.357834,-99.093461,"19.357834,-99.093461","8","Atlalilco,Cerro de la Estrella"
"Jamaica",19.409004,-99.122171,"19.409004,-99.122171","4,9","Fray Servando,Santa Anita,Chabacano,Mixiuhca"
